Country,Bank Name
South Africa,ABSA
South Africa,Access Bank
South Africa,African Bank
South Africa,Albaraka
South Africa,Allan Gray
South Africa,Bank of Taiwan SA
South Africa,Bank Zero
South Africa,Bidvest Bank
South Africa,Capitec
South Africa,Citibank
South Africa,Diners Club
South Africa,Discovery Bank
South Africa,FNB
South Africa,GBS Mutual Bank
South Africa,Grindrod Bank
South Africa,Gro Bank/Mukuru
South Africa,HBZ
South Africa,HSBC RSA
South Africa,Investec
South Africa,Ithala Bank
South Africa,JP Morgan
South Africa,Luno
South Africa,Mercantile Bank
South Africa,Nedbank
South Africa,Netcash
South Africa,Old Mutual Bank
South Africa,Payoneer
South Africa,PayPall
South Africa,Peach Payments
South Africa,Peresec
South Africa,PSG
South Africa,SA Home Loans
South Africa,Sanlam
South Africa,Sasfin
South Africa,Shop2Shop
South Africa,Standard Bank
South Africa,Standard Chartered
South Africa,STANLIB
South Africa,SureCard
South Africa,TymeBank
South Africa,Wise Bank
South Africa,Yoco
United Arab Emirates,ADCB Bank
United Arab Emirates,All Banks
United Arab Emirates,Dubai Islamic Bank
United Arab Emirates,RakBank
Argentina,All Banks
Austria,All Banks
Austria,Sparkasse
Australia,ABC Banking Corp
Australia,All Banks
Australia,American Express
Australia,ANZ
Australia,Bank of Melbourne
Australia,Bankwest
Australia,BOQ Bank of Queensland
Australia,Commonwealth Bank
Australia,Great Southern Bank
Australia,Macquarie
Australia,NAB
Australia,Newcastle Permanent
Australia,Qantas Money
Australia,Up Interim
Australia,Virgin Money
Australia,Westpac
Unknown,All Banks
Unknown,Belfius
Unknown,KBC Bank
Unknown,Nagelmackers
Unknown,Wise
Unknown,All Banks
Unknown,Bank of China
Unknown,All Banks
Unknown,eBay
Unknown,All Banks
Unknown,Xero QPR
Bolivia,All Banks
Brazil,All Banks
Botswana,Absa
Botswana,All Banks
Botswana,Bank Gaborone
Botswana,First Capital
Botswana,FNB
Botswana,Stanbic Bank
Botswana,Standard Chartered
Canada,All Banks
Canada,Bank of Montreal
Canada,HSBC Bank
Canada,Royal Bank
Canada,Royal Bank of Canada
Canada,Scotiabank
Canada,TD Canada Trust
"Congo, The Democratic Republic of the",All Banks
"Congo, The Democratic Republic of the",Ecobank
Congo,All Banks
Congo,Congo All Banks
Congo,Raw Bank
Switzerland,All Banks
Switzerland,UBS
"Cote D""Ivoire",Ivory Coast All Banks
"Cote D""Ivoire",Societe Generale Cote DIvoir
Chile,All Banks
Cameroon,Afriland
Cameroon,All Banks
Colombia,All Banks
Germany,All Banks
Germany,Bank Kontoumsatze
Germany,N26 Bank
Ecuador,All Banks
Egypt,All Banks
Egypt,QNB Alahli
Ethiopia,All Banks
Ethiopia,Dashen
Fiji,All Banks
Fiji,Westpac
France,All Banks
France,BRED Banque Populaire
France,Societe General
Gabon,Gabon All Banks
Gabon,UBA
French Guiana,All Banks
Ghana,ABSA
Ghana,All Banks
Ghana,Stanbic Bank
Guinea,All Banks
Guinea,Ecobank
Guyana,All Banks
Hong Kong,All Banks
Hong Kong,HSBC Bank
Ireland,All Banks
Ireland,Allied Irish Banks
Ireland,Bank of America
Ireland,Bank of Ireland
Ireland,Bank of Montreal
Ireland,Barclays
Ireland,Citibank
Ireland,Dell Bank International
Ireland,EBS
Ireland,Elavon FS
Ireland,Hewlett-Packard International
Ireland,HSBC
Ireland,Intesa Sanpaolo
Ireland,KBC Bank
Ireland,Macquarie Bank Europe
Ireland,Permanent TSB
Ireland,Scotiabank
Ireland,Ulster Bank
Ireland,Wells Fargo Bank
Ireland,Yoco
Italy,All Banks
Italy,Intesa Sanpaolo
Kenya,All Banks
Kenya,NCBA
Kenya,Stanbic Bank
Cayman Islands,Butterfield
Liberia,All Banks
Liberia,GT Bank
Madagascar,All Banks
Madagascar,Societe Generale Madagascar
Mauritius,Afrasia
Mauritius,All Banks
Mauritius,MauBank
Mauritius,MCB
Mauritius,Standard Bank
Malawi,All Banks
Malawi,Standard Bank
Malaysia,All Banks
Malaysia,Maybank Islamic
Malaysia,Public Bank
Mozambique,FNB
Mozambique,Standard Bank
Namibia,All Banks
Namibia,Bank Windhoek
Namibia,Development Bank
Namibia,FNB
Namibia,Nedbank
Namibia,Standard Bank
Nigeria,Access Bank
Nigeria,All Banks
Nigeria,Providus Bank
Nigeria,Stanbic IBTC Bank
Nigeria,Sterling Bank
Netherlands,ABN Amro
Netherlands,All Banks
Netherlands,American Express
Netherlands,ING
Netherlands,Rabobank
New Zealand,All Banks
New Zealand,ANZ
New Zealand,ASB
New Zealand,Kiwibank
New Zealand,Visa Business
Peru,All Banks
Philippines,Asia United Bank
Philippines,Bank of the Philippine Islands
Philippines,BDO Unibank Inc
Philippines,BPI Direct Savings Bank
Philippines,China Banking Corporation
Philippines,Citibank
Philippines,Development Bank of the Philippines
Philippines,EastWest Bank
Philippines,Hongkong & Shanghai Banking Corp
Philippines,Land Bank of the Philippines
Philippines,Metropolitan Bank & Trust Company
Philippines,Philippine National Bank
Philippines,Philippines All Banks
Philippines,Rizal Commercial Banking Corporation
Philippines,Security Bank Corporation
Philippines,Union Bank of the Philippines
Philippines,United Coconut Planters Bank
Philippines,All Banks
Portugal,Millennium bcp
Paraguay,All Banks
Rwanda,All Banks
Rwanda,INM Bank
Seychelles,Absa
Seychelles,Nouvobanq
Singapore,All Banks
Singapore,Bank of Singapore
Singapore,DBS Bank
Singapore,GXS Bank
Singapore,MariBank
Singapore,OCBC Bank
Singapore,Trust Bank
Singapore,United Overseas Bank UOB
Saint Helena,St Helena Island All Banks
Sierra Leone,Sierra Leone All Banks
Sierra Leone,UBA
Senegal,All Banks
Senegal,Banque Islamique du Senegal
Suriname,All Banks
Swaziland,All Banks
Swaziland,FNB
Swaziland,Nedbank
Togo,All Banks
Togo,Bank of Africa
"Tanzania, United Republic of",Tanzania All Banks
Uganda,ABSA
Uganda,All Banks
United Kingdom,3S Money
United Kingdom,All Banks
United Kingdom,BA Amex Card
United Kingdom,Barclays
United Kingdom,Clydesdale Bank
United Kingdom,Counting Up
United Kingdom,HSBC PLC
United Kingdom,Metro Bank
United Kingdom,Metro Bank
United Kingdom,Nationwide
United Kingdom,NatWest
United Kingdom,Pockit
United Kingdom,Revolut Business
United Kingdom,Royal Bank of Scotland
United Kingdom,Standard Bank
United Kingdom,The Co-operative Bank
United Kingdom,Ulster Bank
United Kingdom,WiseBusiness Bank
United Kingdom,Xonder
United Kingdom,Yoco
United States,Addition Financial
United States,All Banks
United States,Amarillo National Bank
United States,America First Credit Union
United States,American Express
United States,ANB Bank
United States,Bank of America
United States,Brex
United States,California Bank
United States,Capital on Tap
United States,CapitalOne
United States,Chase Bank
United States,Ciera Bank
United States,Citibank
United States,Citizens Bank
United States,CommunityChoice
United States,Crawford Tech
United States,Credit Union of Atlanta
United States,Delta CCU
United States,Eastern Bank
United States,Evolve Bank and Trust
United States,Fifth Third Bank
United States,First American Bank
United States,First Citizens Bank
United States,First Financial Bank
United States,First National Bank PA USA
United States,First Tennessee
United States,Got Real
United States,Howard Bank
United States,Kemba FCU
United States,Life Credit Union
United States,M&T Bank
United States,Michigan First Credit Union
United States,Mid Florida Bank
United States,Navy Federal Credit Union
United States,Northwest Bank
United States,Novo
United States,Origin Bank
United States,Park Bank
United States,PNC Bank
United States,Regions Bank
United States,Republic Bank
United States,Rogers Bank
United States,Silicon Valley Bank
United States,Simply Free Business Checking
United States,Southside Bank
United States,St.George Bank
United States,Star One Credit Union
United States,Summit Credit Union
United States,Sun Trust
United States,TD Bank
United States,Texas Citizens Bank
United States,USAA Federal Savings Bank
United States,USbank
United States,Vinings Bank
United States,Wells Fargo
Uruguay,All Banks
Venezuela,All Banks
Zambia,ABSA
Zambia,All Banks
Zambia,FNB
Zambia,IZB
Zambia,Stanbic Bank
Zimbabwe,African Century ACL
Zimbabwe,All Banks
Zimbabwe,CABS
Zimbabwe,CBZ Bank
Zimbabwe,FBC Bank
Zimbabwe,First Capital Bank
Zimbabwe,FNB
Zimbabwe,Nedbank
Zimbabwe,NMB Bank
Zimbabwe,Stanbic
